Wall time,Step,Value
1722522798.3056018,0,10.57700252532959
1722545929.862482,1,10.017783164978027
1722571474.3900445,2,9.705070495605469
1722596247.786769,3,9.451812744140625
1722627080.04482,4,9.240583419799805
1722646814.2055726,5,9.054545402526855
1722671480.8604507,6,8.893462181091309
1722690399.947558,7,8.75033950805664
1722712543.9236367,8,8.627962112426758
1722727378.3246264,9,8.509379386901855
1722745617.2526345,10,8.414754867553711
1722763062.5621643,11,8.331405639648438
1722786477.1166716,12,8.262802124023438
1722807589.7729726,13,8.193674087524414
1722827053.615624,14,8.134661674499512
1722841489.9342275,15,8.079346656799316
1722861320.590292,16,8.037125587463379
1722880083.1228147,17,7.992222309112549
1722896180.0751505,18,7.952182292938232
1722907500.6117167,19,7.923255920410156
1722923368.4503622,20,7.894073009490967
1722938457.2480927,21,7.865716457366943
1722959419.1364613,22,7.8450822830200195
1722975231.6272388,23,7.82710599899292
1722999920.4055178,24,7.803974628448486
1723016448.4839535,25,7.7873616218566895
1723040450.2379172,26,7.775410175323486
1723062655.406272,27,7.760476112365723
1723087729.2293642,28,7.748000144958496
