Wall time,Step,Value
1722522798.3056142,0,0.0011749094119295478
1722545929.8625174,1,0.001836807350628078
1722571474.3900578,2,0.0035991715267300606
1722596247.786805,3,0.006130243185907602
1722627080.0448332,4,0.009721322916448116
1722646814.2056098,5,0.013954880647361279
1722671480.860464,6,0.017796801403164864
1722690399.9475935,7,0.021823212504386902
1722712543.9236495,8,0.02593955770134926
1722727378.3246613,9,0.030057288706302643
1722745617.2526474,10,0.03389111906290054
1722763062.5622015,11,0.037275977432727814
1722786477.1166844,12,0.040392883121967316
1722807589.7730083,13,0.04338032752275467
1722827053.6156383,14,0.04537573084235191
1722841489.9342623,15,0.048693545162677765
1722861320.5903046,16,0.05040781944990158
1722880083.122852,17,0.0524478442966938
1722896180.0751634,18,0.05446428433060646
1722907500.6117554,19,0.0558696910738945
1722923368.4503748,20,0.057734936475753784
1722938457.2481332,21,0.05885066092014313
1722959419.1364746,22,0.06046251952648163
1722975231.6272745,23,0.06100142374634743
1722999920.405531,24,0.06272171437740326
1723016448.4839911,25,0.06322339177131653
1723040450.23793,26,0.06361179798841476
1723062655.4063094,27,0.0649656429886818
1723087729.2293768,28,0.06539195775985718
