Wall time,Step,Value
1723144255.8291645,28,0.06809134036302567
1723160907.7347357,29,0.07922500371932983
1723180768.2526674,30,0.08819380402565002
1723198529.0788994,31,0.09729252755641937
1723220447.8663852,32,0.1054394468665123
1723234701.448597,33,0.11261814087629318
1723251085.3025239,34,0.11957003176212311
1723264739.9206955,35,0.12474615126848221
1723279909.0077014,36,0.12983834743499756
1723292367.9655087,37,0.13461774587631226
1723307212.9718986,38,0.13940732181072235
1723319548.8733878,39,0.14261648058891296
1723334354.694958,40,0.1465226709842682
1723346610.4551728,41,0.14989180862903595
1723361755.9242043,42,0.15234380960464478
1723373633.8227336,43,0.15374413132667542
1723389712.275257,44,0.15701986849308014
1723402657.1061516,45,0.15864790976047516
1723419307.3381767,46,0.15965774655342102
1723431882.722449,47,0.16139167547225952
1723447184.9986498,48,0.16372206807136536
1723461768.2981617,49,0.16439922153949738
